%time,field.header.seq,field.header.stamp,field.header.frame_id,field.num_matches,field.num_inliers,field.runtime
1336387106908413887,1878,1336387106908413887,,402,379,0.153455616
1336387107106888056,1879,1336387107106888056,,396,372,0.125212293
1336387107206125975,1880,1336387107206125975,,412,389,0.120655357
1336387107305361986,1881,1336387107305361986,,425,392,0.147472667
1336387107503835917,1882,1336387107503835917,,418,399,0.131199436
1336387107603072882,1883,1336387107603072882,,449,417,0.144602047
1336387107801547050,1884,1336387107801547050,,446,423,0.142376693
1336387107900784016,1885,1336387107900784016,,441,416,0.134305349
1336387108099257946,1886,1336387108099257946,,425,400,0.134088417
1336387108198493958,1887,1336387108198493958,,425,407,0.134750236
1336387108297730923,1888,1336387108297730923,,428,404,0.142519592
1336387108496204853,1889,1336387108496204853,,414,384,0.123996283
1336387108595442057,1890,1336387108595442057,,411,387,0.133670211
1336387108694679022,1891,1336387108694679022,,414,387,0.128310518
1336387108893152952,1892,1336387108893152952,,397,371,0.128263383
1336387108992388964,1893,1336387108992388964,,395,370,0.121998542
1336387109091626883,1894,1336387109091626883,,387,369,0.124730386
1336387109190862894,1895,1336387109190862894,,397,369,0.134922397
1336387109389338017,1896,1336387109389338017,,385,355,0.124167675
1336387109488574028,1897,1336387109488574028,,386,364,0.117637936
1336387109587811947,1898,1336387109587811947,,385,355,0.110664352
1336387109687047958,1899,1336387109687047958,,380,355,0.139340065
1336387109885521889,1900,1336387109885521889,,368,348,0.126208924
1336387109984760046,1901,1336387109984760046,,374,340,0.121427103
1336387110083996058,1902,1336387110083996058,,375,342,0.126908391
1336387110282469988,1903,1336387110282469988,,386,359,0.13338805
1336387110381706953,1904,1336387110381706953,,395,371,0.127908934
1336387110480944872,1905,1336387110480944872,,396,370,0.12727121
1336387110679416895,1906,1336387110679416895,,399,372,0.139237122
1336387110778653860,1907,1336387110778653860,,414,390,0.130790653
1336387110877892971,1908,1336387110877892971,,417,395,0.138268284
1336387111076365948,1909,1336387111076365948,,414,388,0.127005326
1336387111175603867,1910,1336387111175603867,,441,429,0.140751557
1336387111274839878,1911,1336387111274839878,,436,409,0.135995786
1336387111473312855,1912,1336387111473312855,,438,416,0.141559341
1336387111572550058,1913,1336387111572550058,,437,414,0.140835155
1336387111771024942,1914,1336387111771024942,,440,411,0.136552424
1336387111870260954,1915,1336387111870260954,,448,423,0.130756432
1336387111969497919,1916,1336387111969497919,,447,426,0.147729193
1336387112167971849,1917,1336387112167971849,,442,412,0.136229752
1336387112267209053,1918,1336387112267209053,,451,425,0.122513483
1336387112465682983,1919,1336387112465682983,,454,425,0.139358995
1336387112564918995,1920,1336387112564918995,,460,437,0.146852334
1336387112763393879,1921,1336387112763393879,,469,441,0.145325741
1336387112862630844,1922,1336387112862630844,,468,447,0.131012194
